word,count,isDifficult,difficulty,translation,definition,phonetic
you,201,no,,,,
i,168,no,,,,
to,134,no,,,,
the,125,no,,,,
a,102,no,,,,
and,101,no,,,,
of,78,no,,,,
we,78,no,,,,
that,78,no,,,,
this,69,no,,,,
is,62,no,,,,
it,57,no,,,,
but,55,no,,,,
not,53,no,,,,
no,50,no,,,,
what,49,no,,,,
it's,45,no,,,,
in,45,no,,,,
are,44,no,,,,
for,44,no,,,,
just,41,no,,,,
go,41,no,,,,
was,38,no,,,,
me,37,no,,,,
on,37,no,,,,
okay,36,no,,,,
do,36,no,,,,
right,35,no,,,,
like,34,no,,,,
us,34,no,,,,
my,32,no,,,,
she,32,no,,,,
your,32,no,,,,
they,31,no,,,,
i'm,30,no,,,,
will,30,no,,,,
so,28,no,,,,
be,28,no,,,,
there,28,no,,,,
yeah,28,no,,,,
shit,28,yes,foundation,"vi. 拉屎；vt. 欺骗, 在...拉屎；n. 粪, 屎；interj. 狗屁",n. a coarse term for defecation,ʃit
her,28,no,,,,
him,28,no,,,,
if,28,no,,,,
he,28,no,,,,
don't,27,no,,,,
can,27,no,,,,
know,27,no,,,,
you're,26,no,,,,
one,26,no,,,,
have,24,no,,,,
need,24,no,,,,
out,24,no,,,,
with,23,no,,,,
here,23,no,,,,
all,22,no,,,,
gonna,22,no,,,,
when,21,no,,,,
how,21,no,,,,
get,20,no,,,,
he's,20,no,,,,
well,19,no,,,,
going,18,no,,,,
his,18,no,,,,
now,17,no,,,,
see,16,no,,,,
take,16,no,,,,
eleven,16,no,,,,
about,16,no,,,,
make,16,no,,,,
henry,16,no,,,,
everything,15,no,,,,
uh,15,no,,,,
think,15,no,,,,
way,14,no,,,,
got,14,no,,,,
oh,14,no,,,,
were,14,no,,,,
she's,14,no,,,,
stop,14,no,,,,
our,14,no,,,,
mean,14,no,,,,
some,14,no,,,,
did,13,no,,,,
had,13,no,,,,
hawkins,13,no,,,,
as,13,no,,,,
that's,13,no,,,,
or,13,no,,,,
only,13,no,,,,
doing,12,no,,,,
can't,12,no,,,,
back,12,no,,,,
into,12,no,,,,
up,11,no,,,,
where,11,no,,,,
been,11,no,,,,
would,11,no,,,,
two,11,no,,,,
good,11,no,,,,
something,11,no,,,,
because,11,no,,,,
then,11,no,,,,
sure,11,no,,,,
kill,11,no,,,,
yes,11,no,,,,
why,10,no,,,,
even,10,no,,,,
time,10,no,,,,
i've,10,no,,,,
very,10,no,,,,
hey,10,no,,,,
always,10,no,,,,
could,10,no,,,,
friends,10,no,,,,
wrong,10,no,,,,
let's,10,no,,,,
find,9,no,,,,
much,9,no,,,,
am,9,no,,,,
tell,9,no,,,,
whoa,9,no,,,,
el,9,no,,,,
three,9,no,,,,
again,9,no,,,,
from,9,no,,,,
mike,9,no,,,,
over,9,no,,,,
at,9,no,,,,
try,9,no,,,,
